0, 6, 48
0, 5, 47
0, 6, 46
0, 5, 45
0, 6, 44
0, 5, 43
0, 6, 42
0, 5, 41
0, 6, 40
0, 5, 39
0, 6, 38
0, 5, 37
0, 6, 36
0, 5, 35
0, 6, 34
0, 5, 33
0, 6, 32
0, 5, 31
0, 6, 30
0, 5, 29
0, 6, 28
0, 5, 27
0, 6, 26
0, 5, 25
0, 6, 24
0, 5, 23
0, 6, 22
0, 5, 21
0, 6, 20
0, 5, 19
0, 6, 18
0, 5, 17
0, 6, 16
0, 5, 15
0, 6, 14
0, 5, 13
0, 6, 12
0, 5, 11
0, 6, 10
0, 5, 9
0, 6, 8
0, 5, 7
0, 6, 6
0, 5, 5
0, 6, 4
0, 5, 3
0, 6, 2
0, 5, 1
0, 6, 0
0, 5, -1
0, 6, -2
0, 5, -3
0, 6, -4
0, 5, -5
0, 6, -6
0, 5, -7
0, 6, -8
0, 5, -9
0, 6, -10
0, 5, -11
0, 6, -12
0, 5, -13
0, 6, -14
0, 5, -15
0, 6, -16
0, 5, -17
0, 6, -18
0, 5, -19
0, 6, -20
0, 5, -21
0, 6, -22
0, 5, -23
0, 6, -24
0, 5, -25
0, 6, -26
0, 5, -27
0, 6, -28
0, 5, -29
0, 6, -30
0, 5, -31
0, 6, -32
0, 5, -33
0, 6, -34
0, 5, -35
0, 6, -36
0, 5, -37
0, 6, -38
0, 5, -39
0, 6, -40
0, 5, -41
0, 6, -42
0, 5, -43
0, 6, -44
0, 5, -45
0, 6, -46
0, 5, -47
0, 6, -48
0, 5, -49
0, 6, -50
0, 5, -51
0, 6, -52
0, 5, -53
0, 6, -54
0, 5, -55
0, 6, -56
0, 5, -57
0, 6, -58
0, 5, -59
0, 6, -60
0, 5, -61
0, 6, -62
0, 5, -63
0, 6, -64
0, 5, -65
0, 6, -66
0, 5, -67
0, 6, -68
0, 5, -69
0, 6, -70
0, 5, -71
0, 6, -72
0, 5, -73
0, 6, -74
0, 5, -75
0, 6, -76
0, 5, -77
0, 6, -78
0, 5, -79
0, 6, -80
0, 5, -81
0, 6, -82
0, 5, -83
0, 6, -84
0, 5, -85
0, 6, -86
0, 5, -87
0, 6, -88
0, 5, -89
0, 6, -90
0, 5, -91
0, 6, -92
0, 5, -93
0, 6, -94
0, 5, -95
0, 6, -96
0, 5, -97
0, 6, -98
0, 5, -99
0, 6, -100
0, 5, -101
0, 6, -102
0, 5, -103
0, 6, -104
0, 5, -105
0, 6, -106
0, 5, -107
0, 6, -108
0, 5, -109
0, 6, -110
0, 5, -111
0, 6, -112
0, 5, -113
0, 6, -114
0, 5, -115
0, 6, -116
0, 5, -117
0, 6, -118
0, 5, -119
0, 6, -120
0, 5, -121
0, 6, -122
0, 5, -123
0, 6, -124
0, 5, -125
0, 6, -126
0, 5, -127
0, 6, -128
0, 5, -129
0, 6, -130
0, 5, -131
0, 6, -132
0, 5, -133
0, 6, -134
0, 5, -135
0, 6, -136
0, 5, -137
0, 6, -138
0, 5, -139
